"TRIAL","LOC","ENV","AGROZONE","DOP","DOH","YEAR","TMEAN","TRANGE","TMAX","TMIN","RHMEAN","PRECIPITATION","WINDSPEED"
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.83,7.46,28.32,20.86,82.69,3.21,0.96
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.11,9.19,29.98,20.8,80.31,1.29,1.32
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.71,5.14,26.8,21.65,88.5,7.18,1.55
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.97,7.7,29.36,21.65,82.25,3.65,1.11
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.33,7.6,29.37,21.77,82.06,3.09,0.73
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.69,6.62,29.37,22.74,82.44,9.36,0.62
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.39,5.75,27.85,22.1,89.75,7.27,1.33
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.77,7.42,28.9,21.48,85.62,4.62,1.43
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.05,4.91,27.01,22.1,91.12,14.07,1.84
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.52,4.71,26.21,21.5,89.88,3.76,1.58
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.53,8.6,28.83,20.23,83.31,2.32,1.66
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.82,8.24,28.9,20.65,85.56,7.66,1.26
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.02,5.87,28.23,22.36,87,7.46,0.98
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.26,5.24,27.39,22.15,86.5,12.23,1.19
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.94,5.84,27.32,21.48,85.81,8.43,2.09
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.06,7.66,27.99,20.33,85,5.02,1.16
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,22.87,3.34,24.79,21.44,94.12,48.87,2.05
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.6,4.43,25.99,21.56,89.75,4.54,1.58
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.69,5.33,26.69,21.35,90.75,10.96,1.33
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.56,5.23,26.65,21.42,87.25,53.87,1.34
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.71,4.86,26.6,21.73,89,5.25,1.94
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.01,5.8,27.32,21.52,86.44,1.67,1.87
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.24,8.05,28.24,20.19,86.19,1.48,1.61
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.83,4.8,26.7,21.9,89.69,2.39,1.19
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.62,7.42,28.75,21.33,84.69,1.11,1.01
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.38,6.57,27.93,21.36,87.25,1.61,1.67
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.65,4.41,26.16,21.76,92,4.83,1.41
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.94,6.45,27.65,21.19,88.62,4.51,1.55
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.36,3.69,25.4,21.7,92,10.3,1.29
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.34,7.43,28.5,21.07,87.19,4.24,1.27
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,22.61,4.98,24.93,19.95,89.19,15.68,2.18
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.76,8.98,28.16,19.18,83.94,10.41,1.52
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.67,5.95,27.11,21.16,89.44,18.98,1.81
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.94,7.63,28.22,20.58,87.5,19.89,1.52
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.4,5.38,26.49,21.12,90.12,27.62,1.91
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,22.6,5.63,25.9,20.27,88.88,2.3,1.47
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.51,7.05,27.54,20.49,84.75,0.82,1.63
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.7,5.6,26.64,21.04,86.38,0.97,1.05
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.07,7.5,28.19,20.7,87.88,38.62,1.36
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.79,5.47,27.15,21.69,89.25,9.43,1.14
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.29,6.73,27.87,21.14,87.06,3.37,0.92
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25,7.98,29.12,21.13,83.19,4.12,0.85
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.14,6.95,29.23,22.29,85.25,3.5,0.88
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.85,5.29,26.98,21.69,88.5,4.81,1.66
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.69,7.75,28.83,21.08,83,0.5,1.27
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.55,9.09,29.99,20.9,82.19,3.58,0.73
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.3,4.92,27.08,22.16,90.31,8.51,1.29
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.84,6.48,28.48,22,87.81,3.85,0.98
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.75,6.23,28.4,22.18,85.56,2.76,0.91
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.73,6.99,28.76,21.77,85.62,3.37,1.46
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.33,4.77,25.98,21.2,88.69,8.18,1.66
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.04,7.05,28.1,21.05,85.12,31.28,0.84
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.35,7.69,28.49,20.8,86.5,3.78,1.03
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.62,4.9,26.44,21.54,92.19,4.23,1.68
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.12,8.16,29.16,21.01,83.94,0.5,1.62
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.52,5.89,27.63,21.74,89.81,6.29,1.27
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.46,5.54,27.57,22.02,89.62,45.75,0.8
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.08,4.7,26.69,21.98,89.88,31.51,1.22
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.33,8.16,29.43,21.27,79.12,5.1,0.55
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.25,8.07,29.41,21.34,82.38,4.03,0.85
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.71,4.23,26.23,21.99,89.81,7.83,0.88
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.43,7.59,28.81,21.23,87.38,9.22,1.73
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.76,5.84,28.01,22.18,86.5,16.26,1.06
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.31,7.27,29.23,21.96,85.12,4.82,0.88
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.39,6.88,29.11,22.23,84.94,3.98,1.02
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.21,6.77,28.84,22.07,86.88,0.85,1.03
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.59,6.66,29.53,22.87,82.56,1.4,0.68
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.64,7.12,29.75,22.62,85.88,3.45,0.9
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.26,3.88,26.44,22.55,92.06,8.03,1.2
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.12,5.42,27.37,21.95,89.44,21.81,1.6
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.44,7.64,28.62,20.98,87.81,1.4,1.56
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.81,7.16,28.63,21.47,87.69,3.6,1.16
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.13,4.98,27.05,22.06,90.31,6.19,2.06
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.73,5.65,27.19,21.53,91,6.91,1.69
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.18,6.52,27.73,21.21,87.12,7.94,0.89
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.03,7.87,29.36,21.49,83.31,0.91,0.59
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.62,4.89,26.58,21.69,89.88,1.8,1.61
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.4,8.38,29.14,20.76,82.88,0.6,1.73
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.24,6.35,27.8,21.44,87.94,11.31,1.27
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.27,3.4,25.2,21.8,94.44,14.75,1.32
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.31,6.16,27,20.83,89.75,5.41,2.3
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.8,7.45,27.7,20.26,87.06,2.31,1.55
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.7,7.2,28.48,21.29,85.12,12.34,1.12
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.48,6.45,28.58,22.13,89.12,22.58,1.56
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.97,5.14,27.33,22.19,90.62,1.69,1.36
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.76,6.48,28.61,22.13,86.25,3.7,0.8
