"gen","Abuja20","Ago-Owu18","Ago-Owu19","Ago-Owu20","Ibadan18","Ibadan19","Ibadan20","Ikenne18","Ikenne19","Ikenne20","Mokwa18","Mokwa19","Onne19","Onne20","Otobi19","Ubiaja20","Umudike19"
"IITA-TMS-IBA000070",29.7235424580997,38.7882955449759,33.7037730039755,51.480512143705,44.193377316073,48.4712561396753,35.5766462212853,42.118034301857,25.4271452990109,46.2634396359498,47.3290794456981,30.5663107630686,19.0377570315575,13.1625203450038,54.8669033923242,22.874734564278,41.4872198373843
"IITA-TMS-IBA30572",18.1523578818044,29.4317763663835,19.694711165313,34.5337715783469,34.8573816461876,37.6840033322871,18.8292631829643,32.3113806496911,19.2499858098662,34.7738093966647,35.7022475471992,16.718208584022,10.5032946925416,8.16429761105941,44.5245037718333,16.7996596086625,27.6106644133854
"IITA-TMS-IBA980581",28.4851718202355,29.7179266629015,21.6400240376807,40.1859464863092,38.6909356218601,39.1341898631438,25.5012706537055,31.6874845299438,24.8548425356366,40.4798354167699,40.8682049600707,19.8569063833964,16.717891311261,9.6828217739875,49.1525824633836,28.2420571585101,35.0527493228075
"IITA-TMS-IBA982101",23.995131013455,28.2144459143692,23.1749034279276,38.4834884475518,32.2004295685759,37.5227636626957,22.3649786384233,32.7320978783919,21.8600826666385,39.9718594023194,37.1821419753589,19.5452442962492,20.9581816684556,11.358971151561,50.3856190593644,26.3643988807829,32.2655808791864
"TMEB419",22.9377449555046,31.9994580997763,24.0028382818693,41.3591791025081,33.8047445985657,34.4007577388691,24.4551188361483,29.0997739326442,17.0411091111994,40.6755155942244,42.4653890649203,21.8280713250492,12.0771124347344,10.7322059730751,42.8732703099555,25.7770620352969,30.6760657945342
"TMS13F1021P0008",26.021820309932,34.6893972256475,25.8927743767622,44.8974159999745,40.9261116573243,43.7868198051119,22.666051228977,39.4666155638661,24.4015452923417,39.5452179568155,35.2953970052742,16.1367462581027,11.4643123174808,11.8335568604522,50.6829593320693,23.1441927287629,33.5291683084889
"TMS13F1114P0001",20.2052722745136,32.0943057596422,19.2308802840235,35.3111406873768,39.5954962248126,35.9713766687218,23.1731266931035,26.5836897305045,13.3271237685019,32.6668180019931,30.8770584193874,13.2118531267202,9.71570699627566,10.3634985811431,43.4839766042406,19.2467123527458,27.6360429482688
"TMS13F1182P0002",26.5082687612571,34.6192418719711,32.0284788756538,46.6582138622671,39.921624979044,40.539843663225,27.9265142392417,32.1491017916054,19.7555094150363,41.0940489273663,39.4041107698842,22.3550489610662,15.9630501388993,8.18353820534322,48.7338010862926,23.6217828770658,36.7287783860615
"TMS13F1461P0002",22.8262788495503,32.1112324566707,29.7873894967542,38.8625316575036,38.4773055761904,34.2152813594428,21.4821927611698,34.3782168267505,13.7260990711505,37.2004975594762,34.4052206624728,22.5451157883102,14.391397444952,9.25070024074455,44.4515058590267,18.9669393805543,28.1318710283389
"TMS13F2061P0005",19.0124088677932,27.0482325432925,24.1722719988424,38.4676040498897,37.5447115805998,34.361322782394,23.016451759974,35.4980779670969,14.8281148644003,36.4835308100436,34.6529409506399,18.8231756375098,14.173336856363,9.60376798779756,48.961329380395,19.5873216534915,30.6209092518511
