env,trait,trial,min,max,mean,std,gen_var,res_var,pev,pheno_var,H2,cv,Accr
Ibadan20,dyld,19UYT36setAIB,2.0269375,13.471,8.5336663603,2.3706096742,2.0789,3.2783,0.979650871,5.3571865858,0.388057758,21.21719382,0.7271618102
Ibadan20,fyld,19UYT36setAIB,7.0625,44.3125,25.322610294,6.9557135383,17.6066,30.5926,8.7060675535,48.19923621,0.3652884297,21.842372753,0.7110015151
Ibadan20,hi,19UYT36setAIB,0.2634032634,0.6972157773,0.5381421626,0.0866977569,0.003937,0.003053,0.0012331055,0.0069901126,0.5632293046,10.267667846,0.8287300297
Ibadan20,tyld,19UYT36setAIB,11.125,38.5625,21.676470588,6.2330080696,11.4147,27.6093,6.5498198861,39.023968796,0.2925042885,24.240359305,0.6528347484
Ikenne18,dm,17UYT36setAIK,23,40,32.407407407,3.3545534322,5.7193,4.8061,1.3755849111,10.525396825,0.5433820942,6.7647448285,0.87148391
Ikenne18,dyld,17UYT36setAIK,4.025,19.90625,11.428935185,2.8446055112,3.7448,3.5269,0.9907163303,7.2716740788,0.5149861551,16.431927148,0.8575796964
Ikenne18,fyld,17UYT36setAIK,17.5,56.875,35.217013889,7.9687595443,36.9600,24.2373,7.6142180503,61.197334558,0.6039486147,13.979430947,0.8910599644
Ikenne18,hi,17UYT36setAIK,0.3631578947,0.7794117647,0.6103546369,0.0859336943,0.006222,0.001316,0.0005824676,0.0075381509,0.8253873166,5.9441267067,0.9520421177
Ikenne18,tyld,17UYT36setAIK,8.4375,42.8125,22.537615741,6.3793160429,22.2041,17.1655,5.1319872599,39.36968494,0.5639909139,18.383185497,0.8768537806
Ikenne19,dm,18UYT36setAIK,21,37,30.712962963,3.120780294,3.8460,5.7601,1.3519371843,9.6060846561,0.4003745421,7.8143259112,0.8052857709
Ikenne19,dyld,18UYT36setAIK,2.1,10.8,6.3719328704,2.1739430533,1.0008,3.5638,0.5558828501,4.5645586506,0.2192461821,29.626835247,0.6667386608
Ikenne19,fyld,18UYT36setAIK,6.875,37.1875,20.714699074,6.7286150579,13.2388,30.4960,5.9581446642,43.734783193,0.3027059086,26.658938511,0.7415844599
Ikenne19,hi,18UYT36setAIK,0.3090909091,0.7254901961,0.5458501446,0.0900609852,0.004940,0.003032,0.0009529596,0.0079720498,0.6196514482,10.087939181,0.8983813193
Ikenne19,tyld,18UYT36setAIK,6.875,31.5625,17.039930556,5.4388087796,16.6595,12.0237,3.6037016675,28.683216559,0.5808094955,20.349410074,0.8852596702
Ikenne20,dm,19UYT36setAIK,20.3,40,31.886111111,3.736055974,11.1997,2.9302,1.5707175287,14.129888889,0.7926257859,5.3684040436,0.9272290902
Ikenne20,dyld,19UYT36setAIK,4.09575,21.355125,13.153342014,3.6493714477,7.4580,5.7573,2.2567945842,13.215261893,0.5643440751,18.242047686,0.8351033808
Ikenne20,fyld,19UYT36setAIK,15.875,65.875,41.238715278,10.312867185,54.9354,51.2123,18.740673884,106.14769824,0.5175370097,17.353303627,0.8117016424
Ikenne20,hi,19UYT36setAIK,0.1979734996,0.661423221,0.4668342906,0.0854174892,0.004830,0.002597,0.0011462707,0.0074270327,0.6503397927,10.916113074,0.873316403
Ikenne20,tyld,19UYT36setAIK,25.3125,81.75,47.624131944,13.202839658,46.9077,124.79,27.52829781,171.6999543,0.2731959292,23.456688069,0.642759207
Kano19,dm,18UYT36setAKN,18.6,40.7,31.483516484,4.7856791864,5.7644,16.4634,3.1840037229,22.227779589,0.2593340659,12.887717034,0.6690631323
Kano19,dyld,18UYT36setAKN,0.726,13.606875,5.4414072802,2.9760053542,1.3955,5.2576,0.864291436,6.6531063816,0.2097453559,42.139029474,0.6169600196
Kano19,fyld,18UYT36setAKN,0.3125,38.4375,15.771428571,8.5796467692,2.5003,44.5311,2.1615833176,47.031409627,0.0531616903,42.31173901,0.3680486074
Kano19,hi,18UYT36setAKN,0.0666666667,0.6086956522,0.3971455951,0.1127987999,0.001543,0.006964,0.0009593273,0.0085068287,0.1813479836,21.012792049,0.6149381445
Kano19,tyld,18UYT36setAKN,4.375,45.625,21.789285714,9.0047157164,10.8300,53.5693,6.9601697406,64.399219341,0.1681690445,33.590374571,0.5977644918
Mokwa18,dm,17UYT36setAMK,26,42,36.101851852,3.4122917308,6.0352,4.9386,1.4251234345,10.973809524,0.5499626335,6.1556443005,0.8739932349
Mokwa18,dyld,17UYT36setAMK,1.35625,25.715625,12.304890046,4.5982952288,5.9749,8.5451,2.0899329785,14.520002572,0.4114919728,23.756464313,0.8063575446
Mokwa18,fyld,17UYT36setAMK,4.375,72.5,33.975694444,12.263075445,55.3802,54.6006,15.283899606,109.98079629,0.5035445486,21.748546106,0.8508929729
Mokwa18,hi,17UYT36setAMK,0.2142857143,0.6837606838,0.4870459391,0.0844867329,0.003808,0.003326,0.0009691612,0.0071341571,0.5337554375,11.841543057,0.8634155223
Mokwa18,tyld,17UYT36setAMK,6.25,65.625,35.122106481,10.910446797,27.9889,65.9921,12.974516612,93.9809493,0.2978145485,23.129448208,0.7324210121
Mokwa19,dm,18UYT36setAMK,14,33.8,25.96,4.768458064,15.8156,7.7584,2.7078917299,23.573965807,0.6708924164,10.729527109,0.9103754398
Mokwa19,dyld,18UYT36setAMK,0.5375,11.61875,5.4002321429,2.6500864414,2.5972,3.2154,0.8457472221,5.8125849059,0.4468260351,33.204969933,0.8211965103
Mokwa19,fyld,18UYT36setAMK,3.125,36.5625,20.336084906,8.1782479205,18.8259,34.0461,7.6239882582,52.872013502,0.3560651407,28.692378188,0.7713794233
Mokwa19,hi,18UYT36setAMK,0.1900826446,0.6604938272,0.4281745809,0.1144099908,0.003569,0.006688,0.0014743685,0.0102571149,0.3479604241,19.099795068,0.7660966083
Mokwa19,tyld,18UYT36setAMK,3.125,65.625,27.126768868,10.260753859,9.4971,59.4128,6.5801436776,68.909908508,0.137818764,28.414633127,0.5542023264
Mokwa20,dm,19UYT36setAMK,19.8,38.7,30.673239437,4.4028872912,17.5987,2.2088,1.524819974,19.807456234,0.8884862773,4.84527984,0.9556965368
Mokwa20,dyld,19UYT36setAMK,1.5714375,11.2771875,5.5513788732,2.127529093,0.7042,1.7190,0.4034374014,2.4232591496,0.2906118461,23.61788634,0.6535448673
